,Type,Price,Contracts,Cum. Profit NONE,Profit %,total_value,payment,leverage
144,Entry Long,294.96,238.7837,12678.7,-6.68,117386.1,70431.64015199999,0.6250661407346729
146,Entry Short,275.36,245.6805,16040.25,4.97,112678.7,67650.58248,0.5829923882445961
148,Entry Long,277.71,250.6268,19515.47,4.99,116040.25,69601.568628,0.5823645142172807
150,Entry Short,289.74,247.5721,18786.01,-1.02,119515.47,71731.540254,0.6038719564197839
152,Entry Long,292.57,491.2473,15830.74,-2.06,118786.01,143724.222561,1.2408124351186913
154,Entry Short,286.67,244.1766,14344.72,-2.12,115830.74,69998.105922,0.6121673648070501
156,Entry Long,292.64,236.4121,12154.31,-3.17,114344.72,69183.636944,0.6168611526743822
158,Entry Short,283.49,240.1478,15535.45,4.97,112154.31,68079.499822,0.5892520418797866
160,Entry Short,214.72,322.8449,13079.45,-3.54,115535.45,69321.256928,0.6130314299194063
162,Entry Long,222.24,308.986,12372.35,-1.03,113079.45,68669.04864,0.6110849211572063
164,Entry Short,220.04,615.4759,19132.86,4.99,112372.35,135429.317036,1.1367922925379277
166,Entry Long,212.56,336.3909,22655.83,4.93,119132.86,71503.249704,0.5829584268762439
168,Entry Short,240.13,306.4863,26311.09,4.97,122655.83,73596.555219,0.5826610729034165
170,Entry Long,218.4,347.0085,30069.36,4.96,126311.09,75786.6564,0.5826634066624147
172,Entry Short,229.26,340.3917,33939.81,4.96,130069.36,78038.201142,0.5826363434590508
174,Entry Long,225.16,356.919,33329.57,-0.76,133939.81,80363.88204,0.6027461278094574
176,Entry Short,223.54,359.5582,31783.38,-1.92,133329.57,80375.640028,0.609907258623963
178,Entry Long,227.75,349.9018,31394.67,-0.49,131783.38,79690.13494999999,0.60649442591545
180,Entry Short,226.73,348.8693,31321.16,-0.09,131394.66999999998,79099.13638899999,0.6023335187489967
182,Entry Long,226.85,696.245,29434.19,-1.19,131321.16,157943.17825,1.2202585595815139
184,Entry Short,224.23,351.0988,35091.63,7.19,129434.19,78726.883924,0.5827665557370209
186,Entry Long,207.93,389.8185,34918.91,-0.21,135091.63,81054.96070499999,0.6007679776318975
